learning_rate,epochs,batch_size,hidden_layer_sizes,mean_accuracy,std_accuracy,mean_time,std_time,total_time,episodes_run
0.15,30,64,"128,128,64",0.98254,0.0005885575587824862,20.08405523300171,1.0159781843290376,200.8405523300171,10
0.15,35,64,"128,128,64",0.98254,0.0005730619512757587,23.861100363731385,0.2572455714526927,238.61100363731384,10
0.15,40,64,"128,128,64",0.9825000000000002,0.000529150262212908,30.263864517211914,1.3730723019272417,302.63864517211914,10
0.15,25,64,"128,128,64",0.9824999999999999,0.00044045431091090163,17.121834301948546,0.2807873477641135,171.21834301948547,10
0.15,20,64,"128,128,64",0.9818199999999999,0.0008447484832777165,13.368571209907532,0.5707263048688688,133.68571209907532,10
0.1,25,64,"128,128,64",0.9818,0.0006708203932499458,17.060976910591126,0.2371416231798262,170.60976910591125,10
0.1,30,64,"128,128,64",0.98167,0.0008741281370600164,20.436557722091674,0.3269735363543996,204.36557722091675,10
0.1,35,64,"128,128,64",0.9816599999999998,0.0007989993742175209,23.960810208320616,0.2246731941101364,239.60810208320618,10
0.1,40,64,"128,128,64",0.9815699999999999,0.0008602906485601269,27.204176020622253,0.5707847882787361,272.04176020622253,10
0.1,45,64,"128,128,64",0.9814999999999999,0.000840238061504008,30.67297477722168,0.420364904912245,306.7297477722168,10
0.1,20,64,"128,128,64",0.9812299999999998,0.0008854942122905148,13.813068890571595,0.28442001302427145,138.13068890571594,10
0.15,35,128,"128,128,64",0.98052,0.0007959899496852995,15.191131782531738,0.6547101647237963,151.91131782531738,10
0.15,25,128,"128,128,64",0.98042,0.0009917661014573855,10.363025808334351,0.506704972778857,103.6302580833435,10
0.15,30,128,"128,128,64",0.98041,0.0008882004278314778,12.594096255302428,0.1607903982741498,125.94096255302429,10
0.1,35,128,"128,128,64",0.97956,0.0006770524351924226,14.667065715789795,0.19685225590692307,146.67065715789795,10
0.1,45,128,"128,128,64",0.9795,0.0010029955134495945,18.838443779945372,0.22952126719932273,188.38443779945374,10
0.15,20,128,"128,128,64",0.9793900000000001,0.0015029637387508695,8.255367016792297,0.1044105817861557,82.55367016792297,10
0.1,40,128,"128,128,64",0.97929,0.0009554580053565977,16.731560921669008,0.18638275064508877,167.31560921669006,10
